Year,State,Male_Electors,Female_Electors,Total_Electors,Male_Voters,Female_Voters,Total_Voters
2004,KERALA,407826,463766,871592,303520,339296,642816
2004,KERALA,451859,508263,960122,329593,352634,682227
2004,KERALA,490115,541478,1031593,343726,358664,702390
2004,KERALA,471620,548984,1020604,320341,347939,668280
2004,KERALA,539461,573110,1112571,386755,374733,761488
2004,MADHYA PRADESH,782368,652521,1434889,355472,131399,486871
2004,MADHYA PRADESH,753090,635209,1388299,416438,189575,606013
2004,MADHYA PRADESH,742390,639074,1381464,361553,202944,564497
2004,MADHYA PRADESH,758620,663425,1422045,431298,236910,668208
2004,MADHYA PRADESH,673869,576882,1250751,325937,153309,479246
2004,MADHYA PRADESH,831514,721362,1552876,497334,274496,771830
2004,MADHYA PRADESH,740413,658126,1398539,398225,192813,591038
2004,MADHYA PRADESH,689758,635060,1324818,374023,235704,609727
2004,MADHYA PRADESH,760309,700705,1461014,394280,236001,630281
2004,MADHYA PRADESH,564542,519159,1083701,289652,167377,457029
2004,MADHYA PRADESH,671395,633857,1305252,318854,190269,509123
2004,MADHYA PRADESH,500140,500201,1000341,330591,278278,608869
2004,MADHYA PRADESH,547160,547974,1095134,334920,253258,588178
2004,MADHYA PRADESH,710919,636966,1347885,350295,222253,572548
2004,MADHYA PRADESH,620115,583803,1203918,355853,242892,598745
2004,MADHYA PRADESH,589756,555351,1145107,421169,331270,752439
2004,MADHYA PRADESH,581447,541383,1122830,332796,214525,547321
2004,MADHYA PRADESH,682485,604718,1287203,400129,233607,633736
2004,MADHYA PRADESH,967734,879810,1847544,520086,337807,857893
2004,MADHYA PRADESH,702385,610663,1313048,428344,227837,656181
2004,MADHYA PRADESH,664543,613886,1278429,397734,201222,598956
2004,MADHYA PRADESH,682847,645994,1328841,441293,278451,719744
2004,MADHYA PRADESH,627521,590205,1217726,356655,248444,605099
2004,MADHYA PRADESH,655223,632076,1287299,370645,281102,651747
2004,MADHYA PRADESH,671362,654318,1325680,401539,301450,702989
2004,MADHYA PRADESH,872209,805821,1678030,498356,355884,854240
2004,MADHYA PRADESH,638111,605336,1243447,413880,305920,719800
2004,MADHYA PRADESH,646870,643231,1290101,353988,274147,628135
2004,MADHYA PRADESH,699066,674824,1373890,451052,325136,776188
2004,MAHARASHTRA,379898,455816,835714,237753,242490,480243
2004,MAHARASHTRA,413019,501751,914770,250830,309790,560620
2004,MAHARASHTRA,629972,620300,1250272,408296,383644,791940
2004,MAHARASHTRA,353569,266862,620431,159498,114845,274343
2004,MAHARASHTRA,405543,298909,704452,203651,144286,347937
2004,MAHARASHTRA,627054,490433,1117487,294444,220117,514561
2004,MAHARASHTRA,1107338,867222,1974560,535793,389830,925623
2004,MAHARASHTRA,825728,690017,1515745,417980,329697,747677
2004,MAHARASHTRA,1295493,1082373,2377866,644451,474795,1119246
2004,MAHARASHTRA,1746876,1493466,3240342,757070,555936,1313006
2004,MAHARASHTRA,860538,744581,1605119,390918,292345,683263
2004,MAHARASHTRA,794591,728081,1522672,391303,264768,656071
2004,MAHARASHTRA,628347,594016,1222363,339597,250839,590436
2004,MAHARASHTRA,628624,597490,1226114,274566,180742,455308
2004,MAHARASHTRA,609102,609422,1218524,346152,293462,639614
2004,MAHARASHTRA,625341,589520,1214861,346946,262446,609392
2004,MAHARASHTRA,643911,595330,1239241,348220,267852,616072
2004,MAHARASHTRA,620708,575919,1196627,416243,343959,760202
2004,MAHARASHTRA,662274,608781,1271055,415144,319380,734524
2004,MAHARASHTRA,593720,558166,1151886,398818,320825,719643
2004,MAHARASHTRA,632275,572606,1204881,391337,284316,675653
2004,MAHARASHTRA,606230,542529,1148759,373262,274006,647268
2004,MAHARASHTRA,851771,779123,1630894,445841,346339,792180
2004,MAHARASHTRA,505131,500930,1006061,356444,323283,679727
2004,MAHARASHTRA,572972,540860,1113832,420832,353840,774672
2004,MAHARASHTRA,690511,639235,1329746,459199,381072,840271
2004,MAHARASHTRA,599009,545915,1144924,364876,260964,625840
2004,MAHARASHTRA,586109,547496,1133605,376887,286114,663001
2004,MAHARASHTRA,607488,581815,1189303,399654,327893,727547
2004,MAHARASHTRA,738647,706964,1445611,441089,357682,798771
2004,MAHARASHTRA,584538,571130,1155668,371023,304394,675417
2004,MAHARASHTRA,634182,608747,1242929,414671,341320,755991
2004,MAHARASHTRA,847300,788817,1636117,520651,390881,911532
2004,MAHARASHTRA,676447,643444,1319891,481233,401299,882532
2004,MAHARASHTRA,674423,618779,1293202,444264,376482,820746
2004,MAHARASHTRA,560090,512555,1072645,351407,285775,637182
2004,MAHARASHTRA,618326,568905,1187231,357299,299790,657089
2004,MAHARASHTRA,668563,625844,1294407,386917,301365,688282
2004,MAHARASHTRA,673744,621849,1295593,370739,315815,686554
2004,MAHARASHTRA,558436,519083,1077519,360153,306797,666950
2004,MAHARASHTRA,679137,640182,1319319,406089,325670,731759
2004,MAHARASHTRA,839584,769030,1608614,423059,345767,768826
2004,MAHARASHTRA,971786,874849,1846635,519687,373039,892726
2004,MAHARASHTRA,571705,577585,1149290,351763,321330,673093
2004,MAHARASHTRA,589936,591808,1181744,375154,338668,713822
2004,MAHARASHTRA,601722,584694,1186416,363272,329168,692440
2004,MAHARASHTRA,612620,602439,1215059,426366,363898,790264
2004,MAHARASHTRA,584148,578064,1162212,426801,384733,811534
