State_Code,Constituency,Male_Electors,Female_Electors,Total_Electors,Male_Voters,Female_Voters,Total_Voters
S24,Gonda,728955,612500,1341455,353914,252143,606057
S24,Domariyaganj,813533,686146,1499679,390665,347026,737691
S24,Basti,866936,703721,1570657,424468,349092,773560
S24,Sant kabir Nagar,922621,771832,1694453,422490,378827,801317
S24,Maharajganj,811525,697642,1509167,447501,392068,839569
S24,Gorakhpur,945962,750512,1696474,421560,329381,750941
S24,Kushi Nagar,779362,658901,1438263,392827,338448,731275
S24,Deoria,860223,720522,1580745,387305,330256,717561
S24,Bansgaon,911720,751928,1663648,349383,300561,649944
S24,Lalganj,810708,698828,1509536,333613,324303,657916
S24,Azamgarh,853748,725106,1578854,373406,330812,704218
S24,Ghosi,909640,783591,1693231,415215,350414,765629
S24,Salempur,872801,748335,1621136,349535,286752,636287
S24,Ballia,922795,756234,1679029,388247,289215,677462
S24,Jaunpur,896528,765599,1662127,396108,367876,763984
S24,Machhlishahr,935295,815779,1751074,363667,354137,717804
S24,Ghazipur,817013,710710,1527723,416711,353521,770232
S24,Chandauli,790196,656063,1446259,380209,290792,671001
S24,Varanasi,867645,694209,1561854,398193,267028,665221
S24,Bhadohi,828824,690625,1519449,363955,295237,659192
S24,Mirzapur,760833,644706,1405539,411128,322206,733334
S24,Robertsganj,661029,553706,1214735,347120,251684,598804
S25,Cooch behar,700250,628836,1329086,587564,531509,1119073
S25,Alipurduars,640335,588966,1229301,483546,448895,932441
S25,Jalpaiguri,662777,589365,1252142,553888,475918,1029806
S25,Darjeeling,627640,587824,1215464,500015,464786,964801
S25,Raiganj,583292,525090,1108382,465910,430177,896087
S25,Balurghat,530001,480223,1010224,460821,412948,873769
S25,Maldaha Uttar,573968,527128,1101096,472036,448106,920142
S25,Maldaha Dakshin,545742,506351,1052093,425273,402285,827558
S25,Jangipur,561735,525319,1087054,480603,452937,933540
S25,Baharampur,615127,564811,1179938,492070,458548,950618
S25,Murshidabad,622002,570897,1192899,548082,502034,1050116
S25,Krishnanagar,643478,579604,1223082,547191,496816,1044007
S25,Ranaghat,697070,632366,1329436,595948,549404,1145352
S25,Bangaon,651105,595874,1246979,591251,486395,1077646
S25,Barrackpore,593074,488163,1081237,480909,388025,868934
S25,Dum dum,634376,577844,1212220,522427,452031,974458
S25,Barasat,640075,586579,1226654,548825,475183,1024008
S25,Basirhat,633502,565077,1198579,557835,480031,1037866
S25,Joynagar,593804,549836,1143640,491833,423925,915758
S25,Mathurapur,635482,591894,1227376,548728,499311,1048039
S25,Diamond harbour,693025,609373,1302398,582527,471092,1053619
S25,Jadavpur,684099,647438,1331537,574950,508653,1083603
